"SubNum","butterfly","response","respFlower","corrFlower","accuracy","cumAcc","RT","trialNum","listN","NfromChange","befAft","befAft2","trialCond","objfile","FlowNum","Q1","Q2","Q3","Q4","P1","P2","P3","P4","Prob","Delta","uncertainty","uncertainty2","CPP"
2,1,3,"yellow_flower","blue_flower",0,0,0.69177,1,0,1,0,0,1,"toolbox02.jpg",4,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,1,5,"green_flower","blue_flower",0,0,1.300895,2,0,2,0,0,1,"firehydrant.jpg",2,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,2,4,"green_flower","red_flower",0,0,1.38265,3,0,3,0,0,1,"shed02.jpg",2,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,2,4,"red_flower","red_flower",1,0.25,0.705845,4,0,4,0,0,1,"toucan.jpg",3,0,0,1,0,0.25,0.25,0.25,0.25,0.25,1,1,1.38629436111989,NA
2,1,2,"yellow_flower","blue_flower",0,0.2,0.937415,5,0,5,0,0,1,"skunk.jpg",4,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,1,5,"blue_flower","blue_flower",1,0.333333333333333,1.841375,6,0,6,0,1,1,"motorcycle.jpg",1,1,0,0,0,0.25,0.25,0.25,0.25,0.25,1,1,1.38629436111989,NA
2,2,3,"green_flower","red_flower",0,0.285714285714286,0.668035,7,0,7,0,1,1,"flipflop01b.jpg",2,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,2,1,NA,"red_flower",0,0.25,NA,8,0,8,0,1,1,"corn02.jpg",NA,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,NA,NA,0.909691294520007,0.895201666425665,NA
2,1,2,"blue_flower","blue_flower",1,0.333333333333333,0.535065,9,0,9,1,1,1,"birdfeeder.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,4,"green_flower","red_flower",0,0.3,0.686855,10,0,10,1,1,1,"marble.jpg",2,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,2,5,"blue_flower","red_flower",0,0.272727272727273,1.40441,11,0,11,1,2,1,"shelf.jpg",1,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,1,4,"blue_flower","blue_flower",1,0.333333333333333,0.535765,12,0,12,1,2,1,"foosballtable.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,4,"blue_flower","blue_flower",1,0.384615384615385,1.227495,13,0,13,1,2,1,"tennisracket.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,3,"red_flower","red_flower",1,0.428571428571429,1.59228,14,0,14,1,2,1,"wheat.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,4,"blue_flower","blue_flower",1,0.466666666666667,1.43778,15,0,15,1,2,1,"tire.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,4,"yellow_flower","blue_flower",0,0,0.89249,16,2,1,0,0,1,"handbrush02.jpg",4,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,1,4,"green_flower","blue_flower",0,0,1.00008,17,2,2,0,0,1,"treadmill.jpg",2,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,2,2,"red_flower","red_flower",1,0.333333333333333,1.709635,18,2,3,0,0,1,"shower.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,4,"blue_flower","blue_flower",1,0.5,0.429325,19,2,4,0,0,1,"skateboard.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,3,"blue_flower","blue_flower",1,0.6,0.550235,20,2,5,0,0,1,"barrel01.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,4,"blue_flower","blue_flower",1,0.666666666666667,0.936505,21,2,6,0,0,1,"xylophone.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,5,"red_flower","red_flower",1,0.714285714285714,0.984575,22,2,7,0,0,1,"forklift.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,4,"red_flower","red_flower",1,0.75,0.50491,23,2,8,0,0,1,"scalpel.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,5,"blue_flower","blue_flower",1,0.777777777777778,0.67293,24,2,9,0,0,1,"sailboat.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,2,"blue_flower","blue_flower",1,0.8,1.51986,25,2,10,0,0,1,"snowman.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,2,"red_flower","red_flower",1,0.818181818181818,0.72473,26,2,11,0,0,1,"stool01.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,3,"red_flower","red_flower",1,0.833333333333333,1.93107,27,2,12,0,0,1,"butterfly1.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,3,"blue_flower","blue_flower",1,0.846153846153846,1.63175,28,2,13,0,1,1,"desktopcomputer.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,5,"red_flower","blue_flower",0,0.785714285714286,1.459175,29,2,14,0,1,1,"triangle.jpg",3,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,1,5,"blue_flower","blue_flower",1,0.8,0.878775,30,2,15,0,1,1,"dartboard.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,5,"blue_flower","red_flower",0,0.75,0.782865,31,2,16,0,1,1,"electricguitar01.jpg",1,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,2,2,"red_flower","red_flower",1,0.764705882352941,1.115775,32,2,17,0,1,1,"doubledoors.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,5,"red_flower","red_flower",1,0.777777777777778,0.55015,33,2,18,0,1,1,"waterfountain02.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,3,"red_flower","red_flower",1,0.789473684210526,0.573515,34,2,19,1,1,1,"skiboot01a.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,3,"red_flower","red_flower",1,0.8,0.5883,35,2,20,1,1,1,"rockingchair.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,4,"red_flower","red_flower",1,0.80952380952381,1.24097,36,2,21,1,1,1,"trophy01.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,3,"red_flower","red_flower",1,0.818181818181818,0.988135,37,2,22,1,1,1,"fridge.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,3,"blue_flower","blue_flower",1,0.826086956521739,0.48223,38,2,23,1,1,1,"filingcabinet.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,5,"red_flower","red_flower",1,0.833333333333333,1.285795,39,2,24,1,1,1,"crown.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,4,"blue_flower","blue_flower",1,0.84,0.433035,40,2,25,1,2,1,"file.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,5,"red_flower","red_flower",1,0.846153846153846,0.870485,41,2,26,1,2,1,"blender.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,3,"blue_flower","blue_flower",1,0.851851851851852,0.61911,42,2,27,1,2,1,"sandcastle.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,3,"red_flower","red_flower",1,0.857142857142857,0.616875,43,2,28,1,2,1,"crab01.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,4,"blue_flower","blue_flower",1,0.862068965517241,0.998295,44,2,29,1,2,1,"butterfly1.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,4,"red_flower","red_flower",1,0.866666666666667,0.878635,45,2,30,1,2,1,"doghouse.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,3,"blue_flower","blue_flower",1,0.870967741935484,1.05154,46,2,31,1,2,1,"chime.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,2,"blue_flower","blue_flower",1,0.875,0.874645,47,2,32,1,2,1,"contactlens.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,4,"blue_flower","blue_flower",1,0.878787878787879,1.315535,48,2,33,1,2,1,"snowglobe.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,5,"red_flower","red_flower",1,0.882352941176471,0.584235,49,2,34,1,2,1,"beerbottle.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,4,"red_flower","red_flower",1,0.885714285714286,1.285815,50,2,35,1,2,1,"salmon.jpg",3,0,0,1,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,5,"blue_flower","blue_flower",1,0.888888888888889,1.362765,51,2,36,1,2,1,"microwave.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,5,"blue_flower","green_flower",0,0.864864864864865,0.62419,52,3,1,0,0,1,"whiteout.jpg",1,0,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,-1,0.909691294520007,0.895201666425665,NA
2,1,3,"red_flower","green_flower",0,0.842105263157895,1.803355,53,3,2,0,0,1,"dromedary.jpg",3,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,2,4,"red_flower","yellow_flower",0,0.82051282051282,1.698595,54,3,3,0,0,1,"cruiseship.jpg",3,0,0,0,0,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0.722616683425784,-1,0.909691294520007,0.895201666425665,NA
2,1,5,"red_flower","green_flower",0,0.8,1.9447,55,3,4,0,0,1,"rollerblade.jpg",3,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,2,5,"red_flower","yellow_flower",0,0.780487804878049,0.658165,56,3,5,0,0,1,"windshieldwiper02.jpg",3,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,1,3,"blue_flower","green_flower",0,0.761904761904762,0.46175,57,3,6,0,0,1,"candycane01a.jpg",1,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,1,4,"red_flower","green_flower",0,0.744186046511628,0.790395,58,3,7,0,0,1,"canoepaddle02.jpg",3,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,2,2,"red_flower","yellow_flower",0,0.727272727272727,1.33789,59,3,8,0,0,1,"hotdog.jpg",3,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,1,3,"green_flower","green_flower",1,0.733333333333333,1.0858,60,3,9,0,0,1,"cactus.jpg",2,0,1,0,0,0.25,0.25,0.25,0.25,0.25,1,1,1.38629436111989,NA
2,2,4,"green_flower","yellow_flower",0,0.717391304347826,1.10519,61,3,10,0,0,1,"bookshelf.jpg",2,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,1,2,"green_flower","green_flower",1,0.723404255319149,0.651745,62,3,11,0,0,1,"bathtub.jpg",2,0,1,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,3,"yellow_flower","yellow_flower",1,0.729166666666667,0.67933,63,3,12,0,0,1,"spicerack.jpg",4,0,0,0,1,0.25,0.25,0.25,0.25,0.25,1,1,1.38629436111989,NA
2,2,3,"yellow_flower","yellow_flower",1,0.73469387755102,0.601925,64,3,13,0,1,1,"stepladder.jpg",4,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,4,"yellow_flower","yellow_flower",1,0.74,0.51113,65,3,14,0,1,1,"snowshovel.jpg",4,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,3,"green_flower","green_flower",1,0.745098039215686,1.296935,66,3,15,0,1,1,"seaturtle.jpg",2,0,1,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,3,"green_flower","green_flower",1,0.75,0.50778,67,3,16,0,1,1,"winniethepooh.jpg",2,0,1,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,3,"green_flower","green_flower",1,0.754716981132076,0.71595,68,3,17,0,1,1,"witchhat.jpg",2,0,1,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,3,"yellow_flower","yellow_flower",1,0.759259259259259,1.492595,69,3,18,0,1,1,"granolabar01.jpg",4,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,5,"green_flower","green_flower",1,0.763636363636364,0.829085,70,3,19,1,1,1,"shovel01.jpg",2,0,1,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,2,"green_flower","green_flower",1,0.767857142857143,0.564905,71,3,20,1,1,1,"fluorescentlightbulb.jpg",2,0,1,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,4,"green_flower","yellow_flower",0,0.754385964912281,1.48681,72,3,21,1,1,1,"urinal.jpg",2,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,2,2,"yellow_flower","yellow_flower",1,0.758620689655172,0.927935,73,3,22,1,1,1,"frisbee.jpg",4,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,3,"green_flower","yellow_flower",0,0.745762711864407,1.820445,74,3,23,1,1,1,"porcupine.jpg",2,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,1,3,"green_flower","green_flower",1,0.75,0.623595,75,3,24,1,1,1,"showerhead01.jpg",2,0,1,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,2,"green_flower","green_flower",1,0.754098360655738,0.67093,76,3,25,1,2,1,"handheldtelescope.jpg",2,0,1,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,5,"yellow_flower","yellow_flower",1,0.758064516129032,0.885565,77,3,26,1,2,1,"acorn.jpg",4,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,4,"yellow_flower","green_flower",0,0.746031746031746,2.05171,78,3,27,1,2,1,"polarbear.jpg",4,0,1,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,1,4,"green_flower","green_flower",1,0.75,1.99623,79,3,28,1,2,1,"pirateflag.jpg",2,0,1,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,2,"yellow_flower","yellow_flower",1,0.753846153846154,0.533265,80,3,29,1,2,1,"seagull.jpg",4,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,2,"yellow_flower","green_flower",0,0.742424242424242,1.01428,81,3,30,1,2,1,"toyanimal05.jpg",4,0,1,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,2,4,"yellow_flower","yellow_flower",1,0.746268656716418,1.375635,82,3,31,1,2,1,"greywolf.jpg",4,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,5,"green_flower","yellow_flower",0,0.735294117647059,1.979045,83,3,32,1,2,1,"butterfly3.jpg",2,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,2,4,"yellow_flower","yellow_flower",1,0.739130434782609,0.90394,84,3,33,1,2,1,"surfboard.jpg",4,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,2,"green_flower","green_flower",1,0.742857142857143,0.53573,85,3,34,1,2,1,"donut.jpg",2,0,1,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,5,"yellow_flower","yellow_flower",1,0.746478873239437,1.4628,86,3,35,1,2,1,"apron.jpg",4,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,4,"yellow_flower","yellow_flower",1,0.75,1.26608,87,3,36,1,2,1,"footballhelmet.jpg",4,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,2,"green_flower","yellow_flower",0,0.73972602739726,1.30201,88,4,1,0,0,1,"christmaslights.jpg",2,0,0,0,0,0.0924611055247389,0.722616683425784,0.0924611055247389,0.0924611055247389,0.722616683425784,-1,0.909691294520007,0.895201666425665,NA
2,2,5,"yellow_flower","blue_flower",0,0.72972972972973,0.98994,89,4,2,0,0,1,"zebra.jpg",4,0,0,0,0,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,-1,0.909691294520007,0.895201666425665,NA
2,2,2,"yellow_flower","blue_flower",0,0.72,1.300615,90,4,3,0,0,1,"giraffe.jpg",4,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,1,5,"red_flower","yellow_flower",0,0.710526315789474,1.59118,91,4,4,0,0,1,"mirror02.jpg",3,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,1,1.38629436111989,NA
2,1,2,"yellow_flower","yellow_flower",1,0.714285714285714,0.47343,92,4,5,0,0,1,"recyclingbin.jpg",4,0,0,0,1,0.25,0.25,0.25,0.25,0.25,1,1,1.38629436111989,NA
2,1,2,"yellow_flower","yellow_flower",1,0.717948717948718,0.7477,93,4,6,0,0,1,"fishingrod.jpg",4,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,1,NA,"yellow_flower",0,0.708860759493671,NA,94,4,7,0,0,1,"barn.jpg",NA,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,NA,NA,0.909691294520007,0.895201666425665,NA
2,2,3,"blue_flower","blue_flower",1,0.7125,0.68313,95,4,8,0,0,1,"lightswitch01.jpg",1,1,0,0,0,0.25,0.25,0.25,0.25,0.25,1,1,1.38629436111989,NA
2,2,2,"blue_flower","blue_flower",1,0.716049382716049,0.594555,96,4,9,0,0,1,"birdfeeder.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,4,"blue_flower","yellow_flower",0,0.707317073170732,1.141275,97,4,10,0,0,1,"cannon.jpg",1,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,2,3,"blue_flower","blue_flower",1,0.710843373493976,1.21427,98,4,11,0,0,1,"coffeemachine.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,1,4,"yellow_flower","yellow_flower",1,0.714285714285714,0.54188,99,4,12,0,0,1,"treestump.jpg",4,0,0,0,1,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,4,"yellow_flower","blue_flower",0,0.705882352941177,1.410895,100,4,13,0,1,1,"panda.jpg",4,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
2,2,5,"blue_flower","blue_flower",1,0.709302325581395,0.999305,101,4,14,0,1,1,"butterfly2.jpg",1,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.722616683425784,0,0.909691294520007,0.895201666425665,NA
2,2,5,"green_flower","blue_flower",0,0.701149425287356,1.430965,102,4,15,0,1,1,"cymbal.jpg",2,1,0,0,0,0.722616683425784,0.0924611055247389,0.0924611055247389,0.0924611055247389,0.0924611055247389,0,0.909691294520007,0.895201666425665,NA
